Race/Ethnicity,Sex,Department,Age,Hourly Rate,Regular/Temporary,Employee Status
Asian,M,Municipal Court,42,38.21,R,A
Asian,M,Parks & Recreation,17,16.92,T,A
Asian,M,Seattle Dept of Transportation,39,52.2,T,A
Asian,M,Finance & Admin Services,42,56.641,R,A
Asian,F,Human Services Department,56,44.57,R,A
Asian,M,Seattle City Light,32,33.74,R,A
Asian,M,Parks & Recreation,61,16.14,R,A
Asian,M,Information Technology,37,44.774,R,A
Asian,F,Finance & Admin Services,44,38.21,R,A
Asian,F,Seattle Dept of Transportation,24,20.3,T,A
Asian,M,Finance & Admin Services,53,21.61,R,A
Asian,M,Information Technology,20,16.56,T,A
Asian,F,Parks & Recreation,60,16.11,T,A
Asian,F,Human Services Department,53,36.92,R,A
Asian,M,Construction & Inspections,64,39.62,R,A
Asian,F,Police Department,41,30.71,R,A
Asian,F,Planning & Comm Development,67,48.09,R,A
Asian,M,Seattle Public Library,31,23.46,R,A
Asian,M,Fire Department,33,34.58,R,A
Asian,M,Seattle Dept of Transportation,49,60.864,R,A
Asian,F,Finance & Admin Services,56,41.06,R,A
Asian,F,Seattle Dept of Transportation,51,27.18,R,A
Asian,F,Human Services Department,27,20.91,T,A
Asian,F,Police Department,54,27.18,R,A
Asian,F,Construction & Inspections,53,27.18,R,A
Asian,M,Seattle Dept of Human Resource,34,16.14,R,A
Asian,F,Office of Economic Development,31,38.06,T,A
Asian,M,Seattle Dept of Transportation,45,57.54,R,A
Asian,M,Fire Department,57,44.01,R,A
Asian,M,Seattle City Light,26,46.35,R,A
Asian,M,Seattle City Light,24,20.91,T,A
Asian,M,Seattle City Light,57,23.58,R,A
Asian,F,Parks & Recreation,22,16.92,T,A
Asian,M,Human Services Department,18,16,T,A
Asian,F,Information Technology,61,56.65,R,A
Asian,M,Seattle City Light,43,50.36,R,A
Asian,M,Construction & Inspections,28,34.76,R,A
Asian,F,Finance & Admin Services,52,24.28,T,A
Asian,F,Seattle Public Utilities,24,31.87,T,A
Asian,F,Seattle City Light,62,67,R,A
Asian,M,Seattle City Light,47,22.76,R,A
Asian,F,Seattle Public Utilities,27,31.87,T,A
Asian,F,Seattle Public Library,59,23.46,R,A
Asian,M,Seattle Public Library,23,22.33,R,A
Asian,F,Police Department,33,28.2,R,A
Asian,M,Seattle Dept of Transportation,39,40.48,R,A
Asian,M,Information Technology,26,44.63,R,A
Asian,F,Seattle Public Library,23,20.35,R,A
Asian,M,Office of Economic Development,34,39.364,R,A
Asian,F,Police Department,41,26.64,R,A
Asian,F,Seattle Public Utilities,47,54.442,R,A
Asian,M,Human Services Department,20,16,T,A
Asian,F,Information Technology,38,52.99,R,A
Asian,M,Information Technology,42,64.733,R,A
Asian,F,Neighborhoods,38,46.37,R,A
Asian,M,Information Technology,21,16.56,T,A
Asian,M,Police Department,56,58.22,R,A
Asian,F,Finance & Admin Services,30,26.06,R,A
Asian,M,Information Technology,60,54.5,R,A
Asian,F,Human Services Department,19,16,T,A
Asian,M,Parks & Recreation,35,26.09,R,A
Asian,F,Seattle Public Library,68,23.46,R,A
Asian,M,Fire Department,22,30.88,R,A
Asian,F,Finance & Admin Services,41,25.17,R,A
Asian,M,Police Department,55,60,R,A
Asian,F,Police Department,65,27.95,R,A
Asian,F,Seattle Public Utilities,35,42.92,R,A
Asian,F,Fire Department,27,25.17,R,A
Asian,F,Seattle Center,41,31.26,T,A
Asian,M,Police Department,66,61.02,R,A
Asian,M,Seattle City Light,19,16.56,T,A
Asian,F,Seattle City Light,54,36.13,R,A
Asian,F,Parks & Recreation,23,16.11,T,A
Asian,F,Seattle Public Library,40,24.71,R,A
Asian,M,Seattle Dept of Transportation,24,29.18,T,A
Asian,F,Parks & Recreation,50,16.4,R,A
Asian,F,Finance & Admin Services,55,37.59,R,A
Asian,M,Human Services Department,48,40.48,R,A
Asian,F,Seattle Public Library,66,23.01,R,A
Asian,M,Parks & Recreation,37,22.19,T,A
Asian,M,Civil Service Commissions,51,5.53,R,A
Asian,F,Seattle Dept of Transportation,37,61.53,R,A
Asian,M,Police Department,23,28.99,R,A
Asian,F,Seattle Public Utilities,45,52.595,R,A
Asian,F,Seattle Public Utilities,29,34.28,R,A
Asian,F,Municipal Court,58,53.155,R,A
Asian,F,Education & Early Learning,29,26.65,R,A
Asian,M,Seattle City Light,58,57.91,R,A
Asian,F,Construction & Inspections,69,29.29,R,A
Asian,F,Seattle Public Library,48,26.61,R,A
Asian,F,Seattle Dept of Transportation,40,46.13,R,A
Asian,M,Seattle Public Utilities,64,41.95,R,A
Asian,M,Seattle City Light,49,38.29,R,A
Asian,M,Seattle City Light,26,16.14,R,A
Asian,M,Seattle City Light,51,49.6373,R,A
Asian,M,Fire Department,52,48.79,R,A
Asian,F,Parks & Recreation,22,16.92,T,A
Asian,M,Seattle City Light,42,61.39,R,A
Asian,F,Seattle Public Utilities,42,46.13,R,A
Asian,M,Seattle Public Utilities,59,23,R,A
Asian,M,Seattle Public Utilities,46,30.74,R,A
Asian,M,Seattle Center,47,33.78,R,A
Asian,F,Seattle Public Library,28,23.54,R,A
Asian,F,Parks & Recreation,24,22.19,T,A
Asian,M,Parks & Recreation,21,26.43,T,A
Asian,F,Finance & Admin Services,62,46.13,R,A
Asian,F,Seattle Public Library,30,28.84,R,A
Asian,M,Information Technology,40,56,R,A
Asian,F,Seattle City Light,47,59.95,R,A
Asian,M,Seattle City Light,46,74.59,R,A
Asian,M,Seattle Dept of Transportation,45,32.67,R,A
Asian,M,Parks & Recreation,24,16.11,T,A
Asian,F,Seattle Public Utilities,36,27.18,R,A
Asian,M,Seattle Public Utilities,32,33.45,R,A
Asian,M,Information Technology,45,59,T,A
Asian,M,Fire Department,49,41.61,R,A
Asian,M,Seattle City Light,41,56.4,R,A
Asian,M,Finance & Admin Services,49,63.01,R,A
Asian,F,Information Technology,38,31.87,R,A
Asian,M,Finance & Admin Services,40,42.71,R,A
Asian,F,Seattle Public Utilities,49,26.09,R,A
Asian,M,Seattle Public Utilities,29,29.55,R,A
Asian,F,Parks & Recreation,50,28.91,R,A
Asian,F,Parks & Recreation,20,16.92,T,A
Asian,M,Parks & Recreation,73,22.19,T,A
Asian,M,Seattle Center,51,22.19,T,A
Asian,F,Seattle Public Library,30,33.35,R,A
Asian,F,Seattle City Light,35,63.58,R,A
Asian,M,Fire Department,44,41.61,R,A
Asian,M,Parks & Recreation,53,30.76,R,A
Asian,F,Seattle Public Library,39,24.71,R,A
Asian,M,Police Department,35,48.71,R,A
Asian,F,Seattle Dept of Transportation,53,29.29,R,A
Asian,M,Planning & Comm Development,42,38.98,R,A
Asian,F,Seattle Public Utilities,48,25.24,R,A
Asian,M,Seattle Public Utilities,50,37.87,R,A
Asian,F,Seattle Public Library,24,30.87,R,A
Asian,F,Seattle Public Utilities,41,48.09,R,A
Asian,M,Construction & Inspections,31,43.51,R,A
Asian,F,Seattle City Light,65,46.13,R,A
Asian,M,Construction & Inspections,35,43.51,R,A
Asian,M,Arts & Culture,55,41.06,R,A
Asian,M,Seattle Public Utilities,56,37.53,R,A
Asian,M,Seattle Dept of Transportation,45,32.67,R,A
Asian,M,Seattle Public Library,28,30.49,R,A
Asian,F,Finance & Admin Services,42,49.91,R,A
Asian,M,Information Technology,58,42,T,A
Asian,M,Police Department,30,28.99,R,A
Asian,F,Finance & Admin Services,46,26.09,R,A
Asian,M,Information Technology,26,36.92,T,A
Asian,F,Human Services Department,19,16,T,A
Asian,F,Police Department,47,27.74,R,A
Asian,M,Police Department,30,46.43,R,A
Asian,M,Seattle Public Library,38,24.71,R,A
Asian,F,Mayor's Office,37,53.98,R,A
Asian,M,Construction & Inspections,56,46.13,R,A
Asian,M,Police Department,54,80.93,R,A
Asian,F,Human Services Department,19,16,T,A
Asian,M,Seattle Public Utilities,34,26.9,R,A
Asian,F,Human Services Department,55,42.06,R,A
Asian,M,Finance & Admin Services,25,26.24,R,A
Asian,M,Human Services Department,17,16,T,A
Asian,F,Human Services Department,17,16,T,A
Asian,M,Finance & Admin Services,42,39.67,R,A
Asian,F,Seattle Public Library,56,23.01,R,A
Asian,F,Police Department,56,30.71,R,A
Asian,M,Seattle Public Utilities,35,26.9,R,A
Asian,M,Seattle Public Utilities,37,30.74,R,A
Asian,F,Seattle Public Utilities,36,48.5,R,A
Asian,M,Police Department,53,60,R,A
Asian,M,Parks & Recreation,23,16.92,T,A
Asian,F,Mayor's Office,31,41.77,R,A
Asian,F,Seattle City Light,67,29.89,R,A
Asian,M,Seattle Public Library,18,17.01,R,A
Asian,F,Seattle Center,35,16.11,T,A
Asian,F,Information Technology,32,45.5,T,A
Asian,M,Seattle City Light,58,56.66,R,A
Asian,F,Legislative Department,19,16.56,T,A
Asian,F,Seattle Dept of Transportation,23,21.61,T,A
Asian,F,Seattle City Light,21,16.56,T,A
Asian,F,Arts & Culture,37,35.43,R,A
Asian,F,Seattle City Light,23,20.3,T,A
Asian,M,Seattle Dept of Transportation,63,26.09,R,A
Asian,M,Finance & Admin Services,41,64.538,R,A
Asian,M,Seattle Dept of Transportation,49,33.33,R,A
Asian,M,Seattle City Light,57,29.89,R,A
Asian,M,Parks & Recreation,62,30.39,R,A
Asian,F,Parks & Recreation,58,37.59,R,A
Asian,M,Law Department,41,44.743,R,A
Asian,F,Construction & Inspections,49,36.13,R,A
Asian,M,Information Technology,31,52.119,R,A
Asian,F,Parks & Recreation,57,16.73,T,A
Asian,F,Seattle City Light,49,52.23,R,A
Asian,M,Seattle Public Utilities,22,21.61,T,A
Asian,M,Seattle Center,33,19.05,T,A
Asian,M,Seattle Public Library,19,16,R,A
Asian,F,Seattle City Light,41,35.43,R,A
Asian,F,Seattle Center,39,31.26,T,A
Asian,F,Information Technology,48,54.942,R,A
Asian,F,Neighborhoods,41,36.13,R,A
Asian,F,Parks & Recreation,47,16.11,T,A
Asian,F,Human Services Department,16,16,T,A
Asian,M,Fire Department,58,45.12,R,A
Asian,F,Seattle Dept of Transportation,43,38.98,R,A
Asian,F,Office for Civil Rights,46,44,R,A
Asian,M,Seattle City Light,55,27.18,R,A
Asian,F,Parks & Recreation,24,18,T,A
Asian,F,Fire Department,46,44.38,R,A
Asian,F,Seattle Public Utilities,44,52.058,R,A
Asian,F,Seattle City Light,60,31.63,R,A
Asian,F,Police Department,51,47.9,R,A
Asian,F,Seattle Public Utilities,37,48.09,R,A
Asian,F,Ethics & Elections Commission,30,40.48,R,A
Asian,F,Police Department,35,42.06,R,A
Asian,F,Fire Department,60,27.18,R,A
Asian,F,Human Services Department,47,34.07,R,A
Asian,F,Human Services Department,51,34.07,R,A
Asian,F,Parks & Recreation,52,26.09,R,A
Asian,M,Police Department,49,40.48,R,A
Asian,F,Human Services Department,32,37.59,R,A
Asian,M,Parks & Recreation,62,25.17,R,A
Asian,F,Seattle Center,64,16.11,T,A
Asian,M,Seattle Dept of Transportation,35,27.18,R,A
Asian,F,Police Department,45,64.64,R,A
Asian,F,Seattle Public Utilities,66,27.18,R,A
Asian,M,Seattle Public Utilities,56,26.9,R,A
Asian,F,Seattle Public Library,38,39.95,R,A
Asian,M,Information Technology,35,53,R,A
Asian,M,Police Department,49,56.69,R,A
Asian,M,Seattle City Light,56,44.56,R,A
Asian,M,Municipal Court,49,36.13,R,A
Asian,F,Municipal Court,54,37.59,R,A
Asian,M,Seattle Dept of Transportation,37,30.76,R,A
Asian,M,Information Technology,23,24.76,T,A
Asian,F,Construction & Inspections,45,66.06,R,A
Asian,F,Seattle Center,80,16.11,T,A
Asian,F,Seattle City Light,35,51.25,R,A
Asian,F,Information Technology,49,61,R,A
Asian,M,Municipal Court,53,49.86,T,A
Asian,M,Seattle City Light,44,27.49,R,A
Asian,M,Parks & Recreation,31,22.08,T,A
Asian,F,Police Department,28,28.99,R,A
Asian,M,Fire Department,49,49.37,R,A
Asian,F,Education & Early Learning,45,65.745,R,A
Asian,F,Seattle Dept of Human Resource,38,48.879,R,A
Asian,F,Seattle City Light,37,27.18,R,A
Asian,F,Finance & Admin Services,30,33.01,R,A
Asian,M,Seattle Public Utilities,36,37.53,R,A
Asian,M,Seattle City Light,46,62.26,R,A
Asian,M,Seattle Public Utilities,38,50.348,R,A
Asian,F,Seattle City Light,41,42,R,A
Asian,M,Seattle City Light,58,26.09,T,A
Asian,F,Seattle Center,57,49.84,R,A
Asian,F,Education & Early Learning,41,38.28,R,A
Asian,F,Municipal Court,54,53,R,A
Asian,M,Human Services Department,18,16,T,A
Asian,F,Parks & Recreation,18,16.92,T,A
Asian,F,Human Services Department,36,36.92,R,A
Asian,F,Seattle Dept of Transportation,54,27.18,R,A
Asian,M,Seattle City Light,38,51.87,R,A
Asian,M,Parks & Recreation,52,48.09,R,A
Asian,M,Seattle Public Library,60,33.32,R,A
Asian,F,Information Technology,51,44.42,R,A
Asian,M,Construction & Inspections,54,57.81,R,A
Asian,F,Human Services Department,44,35.43,R,A
Asian,M,Information Technology,50,48.893,R,A
Asian,F,Seattle Public Utilities,47,61.064,R,A
Asian,M,Seattle Dept of Transportation,31,16.11,R,A
Asian,F,Human Services Department,46,42.06,R,A
Asian,M,Seattle City Light,17,16,T,A
Asian,F,Seattle Dept of Transportation,48,21.5,T,A
Asian,M,Seattle City Light,46,27.49,R,A
Asian,M,Seattle City Light,65,50.36,R,A
Asian,M,Seattle Public Library,39,40.6,R,A
Asian,M,Seattle City Light,62,21.61,R,A
Asian,M,Seattle Dept of Transportation,57,58.53,R,A
Asian,F,Seattle City Light,63,25.17,R,A
Asian,F,Parks & Recreation,16,16.92,T,A
Asian,F,Seattle Dept of Transportation,28,43.68,R,A
Asian,F,Arts & Culture,38,38.06,T,A
Asian,F,Information Technology,36,27.63,R,A
Asian,F,Human Services Department,20,16,T,A
Asian,F,Human Services Department,17,16,T,A
Asian,F,Seattle City Light,61,29.89,R,A
Asian,F,Municipal Court,63,25.17,R,A
Asian,F,Seattle Public Utilities,57,48.09,R,A
Asian,F,Seattle Dept of Human Resource,51,48.879,R,A
Asian,M,Seattle Public Utilities,56,40.96,R,A
Asian,F,Seattle Public Utilities,52,31.87,T,A
Asian,F,Seattle Public Library,63,53.63,R,A
Asian,F,Human Services Department,16,16,T,A
Asian,M,Human Services Department,18,16,T,A
Asian,F,Human Services Department,17,16,T,A
Asian,M,Human Services Department,17,16,T,A
Asian,M,Legislative Department,46,28.2,R,A
Asian,M,Seattle City Light,44,62.26,R,A
Asian,M,Fire Department,54,46.97,R,A
Asian,M,Police Department,54,58.22,R,A
Asian,M,Seattle Dept of Transportation,49,47.18,R,A
Asian,M,Parks & Recreation,20,16.92,T,A
Asian,F,Seattle Dept of Human Resource,58,50.93,R,A
Asian,M,Seattle Public Utilities,69,40.76,R,A
Asian,F,Finance & Admin Services,42,42.92,R,A
Asian,F,Police Department,34,58,R,A
Asian,F,Seattle City Light,16,16,T,A
Asian,M,Fire Department,25,30.88,R,A
Asian,F,Information Technology,30,48,R,A
Asian,M,Seattle Public Utilities,54,31,R,A
Asian,F,Finance & Admin Services,40,59.86,R,A
Asian,F,Seattle Public Library,52,23.46,R,A
Asian,F,Seattle Dept of Transportation,46,60.864,R,A
Asian,M,Finance & Admin Services,34,24.28,R,A
Asian,F,Seattle Dept of Transportation,69,27.8,R,A
Asian,M,Human Services Department,18,16,T,A
Asian,M,Seattle Public Utilities,50,47.18,R,A
Asian,M,Seattle Public Utilities,37,37.84,R,A
Asian,M,Police Department,55,30.71,R,A
Asian,F,Seattle Public Library,40,24.71,R,A
Asian,M,Information Technology,50,67.507,R,A
Asian,M,Information Technology,51,55.674,R,A
Asian,F,Seattle Public Utilities,69,40.48,R,A
Asian,F,Seattle City Light,55,25.17,R,A
Asian,M,Fire Department,45,43.46,R,A
Asian,F,Seattle Public Library,35,23.46,R,A
Asian,M,Seattle City Light,21,16.56,T,A
Asian,F,Finance & Admin Services,53,40.48,R,A
Asian,F,Seattle City Light,54,44.51,R,A
Asian,F,Parks & Recreation,52,22.59,T,A
Asian,M,Seattle Public Utilities,38,26.9,R,A
Asian,F,Information Technology,56,46.13,R,A
Asian,F,Parks & Recreation,26,16.73,T,A
Asian,F,Information Technology,53,57.102,R,A
Asian,F,Legislative Department,24,26.3487,R,A
Asian,F,Parks & Recreation,18,16.92,T,A
Asian,M,Seattle Public Utilities,61,54.9,R,A
Asian,M,Seattle Public Utilities,54,54.9,R,A
Asian,M,Seattle Public Utilities,63,35.78,R,A
Asian,M,Seattle Dept of Transportation,18,20.91,T,A
Asian,M,Seattle Dept of Transportation,23,39.61,T,A
Asian,F,Parks & Recreation,54,17.59,R,A
Asian,M,Police Department,48,42.85,R,A
Asian,M,Seattle Dept of Transportation,32,52.18,R,A
Asian,M,Seattle City Light,38,56.77,R,A
Asian,M,Seattle City Light,26,32.94,R,A
Asian,M,Parks & Recreation,25,22.19,T,A
Asian,F,Seattle City Light,57,27.18,R,A
Asian,M,Parks & Recreation,26,16.11,T,A
Asian,M,Parks & Recreation,21,16.92,T,A
Asian,M,Parks & Recreation,61,16.11,T,A
Asian,M,Parks & Recreation,17,19,T,A
Asian,M,Parks & Recreation,36,26.09,R,A
Asian,M,Seattle City Light,30,34.36,R,A
Asian,F,Human Services Department,29,23.4,R,A
Asian,F,Police Department,46,40.48,R,A
Asian,F,Seattle Public Utilities,38,35.43,R,A
Asian,M,Municipal Court,35,41.488,R,A
Asian,F,Parks & Recreation,24,16.11,T,A
Asian,F,Seattle Center,57,22.19,T,A
Asian,F,Seattle City Light,26,25.78,R,A
Asian,M,Seattle City Light,58,50.36,R,A
Asian,M,Seattle Center,64,21.61,R,A
Asian,F,Seattle Public Library,30,21.94,R,A
Asian,F,Construction & Inspections,40,45.26,R,A
Asian,F,Seattle Dept of Transportation,29,20.3,T,A
Asian,M,Seattle Public Utilities,53,40.48,R,A
Asian,M,Legislative Department,52,39.7504,R,A
Asian,M,Fire Department,50,42.53,R,A
Asian,M,Seattle Public Utilities,32,56.37,R,A
Asian,F,Seattle City Light,61,46.13,R,A
Asian,M,Seattle City Light,35,46.61,R,A
Asian,M,Seattle Public Library,27,24.71,R,A
Asian,M,Seattle Dept of Transportation,24,21.61,T,A
Asian,F,Seattle Public Utilities,54,56.98,R,A
Asian,M,Seattle Public Utilities,52,47.18,R,A
Asian,F,City Budget Office,61,64.73,R,A
Asian,M,Seattle City Light,21,21.5,T,A
Asian,M,Parks & Recreation,31,25.17,R,A
Asian,M,Seattle Public Utilities,53,48.974,R,A
Asian,M,Seattle Public Utilities,46,63.1,R,A
Asian,M,Seattle City Light,51,50.36,R,A
Asian,F,Police Department,44,27.18,R,A
Asian,M,Seattle Public Library,37,38.6,R,A
Asian,F,Seattle Public Utilities,45,48.34,R,A
Asian,M,Construction & Inspections,57,72,R,A
Asian,F,Seattle Public Library,23,19.34,R,A
Asian,F,Seattle City Light,71,25.17,R,A
Asian,F,Parks & Recreation,53,47.97,R,A
Asian,F,Parks & Recreation,16,16.92,T,A
Asian,F,Parks & Recreation,26,16.11,T,A
Asian,M,Fire Department,50,44.38,R,A
Asian,F,Seattle Public Utilities,59,26.09,T,A
Asian,F,Police Department,65,29.61,R,A
Asian,F,Information Technology,54,51.446,R,A
Asian,F,Human Services Department,24,22.59,R,A
Asian,M,Police Department,47,57.2,R,A
Asian,F,Law Department,47,73.469,R,A
Asian,F,Seattle Public Library,39,23.46,R,A
Asian,F,Seattle Public Library,43,34.6,R,A
Asian,F,Seattle Public Utilities,43,27.63,R,A
Asian,M,Seattle Public Utilities,62,40.48,R,A
Asian,F,Parks & Recreation,31,16.11,T,A
Asian,M,Information Technology,57,49.753,R,A
Asian,F,Parks & Recreation,58,41.06,R,A
Asian,F,Seattle Center,47,22.19,T,A
Asian,M,Law Department,48,58.13,R,A
Asian,M,Information Technology,51,42.92,R,A
Asian,M,Seattle Public Library,44,38.6,R,A
Asian,M,Seattle Public Library,24,23.46,R,A
Asian,M,Parks & Recreation,51,25.17,R,A
Asian,F,Finance & Admin Services,54,49.7,R,A
Asian,F,Finance & Admin Services,58,29.62,R,A
Asian,M,Construction & Inspections,41,43.51,R,A
Asian,F,Education & Early Learning,27,48.86,R,A
Asian,M,Law Department,51,74.277,R,A
Asian,M,Parks & Recreation,39,28.49,R,A
Asian,M,Seattle Dept of Transportation,29,50.27,R,A
Asian,F,Office for Civil Rights,36,42,R,A
Asian,M,Seattle Dept of Transportation,57,63.1,R,A
Asian,F,Legislative Department,30,44.57,R,A
Asian,M,Information Technology,58,66.833,R,A
Asian,F,Parks & Recreation,50,22.19,T,A
Asian,M,Parks & Recreation,31,33.45,R,A
Asian,M,Parks & Recreation,34,22.19,T,A
Asian,M,Police Department,49,107.6985,R,A
Asian,M,Police Department,50,30.71,R,A
Asian,M,Human Services Department,31,32.81,T,A
Asian,F,Seattle City Light,55,36.96,R,A
Asian,F,Seattle Dept of Transportation,21,21.5,T,A
Asian,M,Seattle City Light,45,23.82,R,A
Asian,F,Seattle City Light,37,47.18,R,A
Asian,M,Seattle Public Library,43,23.46,R,A
Asian,M,Parks & Recreation,50,33.45,R,A
Asian,F,Municipal Court,65,27.8,R,A
Asian,M,Human Services Department,17,16,T,A
Asian,F,Law Department,36,29.89,R,A
Asian,M,Seattle Public Utilities,33,49.77,R,A
Asian,F,Seattle Public Library,16,16,R,A
Asian,M,Information Technology,66,42.92,R,A
Asian,M,Information Technology,30,43.44,R,A
Asian,M,Municipal Court,45,49.86,T,A
Asian,F,Seattle Dept of Transportation,57,62.264,R,A
Asian,M,Parks & Recreation,70,16.11,T,A
Asian,M,Parks & Recreation,16,16.92,T,A
Asian,F,Seattle Dept of Transportation,48,44.57,R,A
Asian,F,Seattle Public Utilities,45,74.155,R,A
Asian,M,Arts & Culture,47,32.17,R,A
Asian,F,Police Department,35,36.66,R,A
Asian,F,Seattle City Light,23,20.3,T,A
Asian,M,Parks & Recreation,46,22.19,T,A
Asian,F,Seattle Public Utilities,48,38.21,T,A
Asian,F,Arts & Culture,37,36.13,R,A
Asian,F,Seattle Public Library,51,44.42,R,A
Asian,F,Seattle Dept of Transportation,52,27.18,R,A
Asian,M,Parks & Recreation,28,23.58,R,A
Asian,F,Seattle Public Library,61,38.6,R,A
Asian,M,Information Technology,39,50.47,R,A
Asian,F,Parks & Recreation,34,36.13,R,A
Asian,F,Office of Economic Development,37,31.63,T,A
Asian,M,Seattle Public Library,23,17.92,R,A
Asian,M,Municipal Court,70,29.96,T,A
Asian,F,Information Technology,47,42.92,R,A
Asian,M,Information Technology,54,56.579,R,A
Asian,F,Legislative Department,39,43.1034,R,A
Asian,F,Human Services Department,36,30.39,R,A
Asian,F,Seattle City Light,45,63.58,R,A
Asian,F,Human Services Department,18,16,T,A
Asian,F,Seattle Center,40,16.11,T,A
Asian,M,Seattle Public Utilities,30,25.89,R,A
Asian,F,Seattle Public Utilities,61,31.69,R,A
Asian,F,Seattle Center,23,16.56,T,A
Asian,M,Seattle Public Library,34,24.71,R,A
Asian,F,Seattle Public Utilities,25,33.45,T,A
Asian,F,Human Services Department,20,16,T,A
Asian,F,Seattle Center,66,18.43,R,A
Asian,F,Seattle Center,25,25.17,R,A
Asian,M,Seattle Dept of Transportation,54,27.93,R,A
Asian,F,Human Services Department,17,16,T,A
Asian,F,Office of Economic Development,37,43.89,R,A
Asian,M,Fire Department,52,39.76,R,A
Asian,M,Seattle City Light,47,50.18,R,A
Asian,F,Municipal Court,50,25.17,R,A
Asian,M,Fire Department,48,80.95,R,A
Asian,M,Police Department,53,57.71,R,A
Asian,F,Seattle Center,53,21.61,R,A
Asian,F,Human Services Department,20,16,T,A
Asian,M,Municipal Court,66,49.86,T,A
Asian,F,Seattle City Light,52,32.81,R,A
Asian,F,Seattle City Light,66,39.23,R,A
Asian,M,Seattle Dept of Transportation,24,16.14,R,A
Asian,M,Information Technology,69,55,R,A
Asian,F,Human Services Department,18,16,T,A
Asian,M,Information Technology,35,50.47,R,A
Asian,M,Information Technology,22,16.56,T,A
Asian,M,Parks & Recreation,25,16.11,T,A
Asian,M,Seattle City Light,30,39.15,R,A
Asian,M,Seattle City Light,36,33.74,R,A
Asian,F,Information Technology,36,38.28,R,A
Asian,M,City Budget Office,34,48.86,R,A
Asian,F,Seattle City Light,54,29.89,R,A
Asian,M,Seattle Public Utilities,45,43.13,R,A
Asian,F,Education & Early Learning,58,29.89,R,A
Asian,F,Municipal Court,54,25.17,R,A
Asian,M,Office for Civil Rights,43,49.308,R,A
Asian,M,Parks & Recreation,22,16.11,T,A
Asian,M,Information Technology,54,66.351,R,A
Asian,F,Police Department,27,36.13,R,A
Asian,M,Seattle Public Utilities,37,60.266,R,A
Asian,M,Information Technology,59,42.92,R,A
Asian,F,Police Department,58,50.831,R,A
Asian,F,Information Technology,32,46.262,R,A
Asian,F,Seattle Public Library,38,24.71,R,A
Asian,M,Seattle Public Utilities,38,35.16,R,A
Asian,N,Seattle Public Library,35,36.27,R,A
Asian,F,Finance & Admin Services,53,37.43,R,A
Asian,F,Seattle City Light,59,29.62,R,A
Asian,M,Seattle Public Library,54,44.82,R,A
Asian,M,Seattle City Light,25,27.18,R,A
Asian,F,Seattle City Light,44,52.55,R,A
Asian,F,Information Technology,38,29.89,R,A
Asian,F,Seattle Public Library,17,16,R,A
Asian,M,Seattle Public Utilities,63,39.06,R,A
Asian,F,Seattle Public Utilities,26,20.3,T,A
Asian,F,Finance & Admin Services,56,47.143,R,A
Asian,F,Office of Economic Development,27,26.09,R,A
Asian,F,Parks & Recreation,45,57.09,R,A
Asian,F,Seattle Public Library,45,39.95,R,A
Asian,M,Seattle Public Utilities,35,16.14,R,A
Asian,M,Seattle Public Utilities,55,25.89,R,A
Asian,F,Seattle Public Utilities,53,35.78,R,A
Asian,M,Seattle City Light,44,27.18,R,A
Asian,M,Information Technology,62,55.5,T,A
Asian,F,Information Technology,53,57.252,R,A
Asian,F,Seattle Public Utilities,34,29.89,R,A
Asian,M,Seattle City Light,65,30.81,R,A
Asian,F,Seattle Public Utilities,28,23.32,R,A
Asian,M,Parks & Recreation,35,26.09,R,A
Asian,M,Seattle City Light,61,61.39,R,A
Asian,M,Seattle Public Utilities,36,36.3,R,A
Asian,F,Parks & Recreation,53,68.11,R,A
Asian,M,Seattle Dept of Transportation,59,30.76,R,A
Asian,F,Seattle Public Utilities,51,25.4,R,A
Asian,F,Parks & Recreation,19,16.92,T,A
Asian,F,Municipal Court,32,43,R,A
Asian,F,Finance & Admin Services,44,46.16,R,A
Asian,M,Seattle Dept of Transportation,33,16.11,R,A
Asian,M,Seattle City Light,29,39.78,R,A
Asian,F,Parks & Recreation,35,50.92,R,A
Asian,F,Seattle Dept of Transportation,22,16.56,T,A
Asian,M,Seattle Dept of Transportation,58,52.13,R,A
Asian,M,Parks & Recreation,67,26.09,R,A
Asian,M,Seattle Dept of Transportation,34,63.1,R,A
Asian,M,Information Technology,51,46.119,R,A
Asian,F,Law Department,45,28.74,R,A
Asian,M,Seattle Center,38,19.05,T,A
Asian,M,Seattle Center,35,20.07,T,A
Asian,F,Human Services Department,28,31.63,R,A
Asian,M,Seattle Public Utilities,60,31.33,R,A
Asian,M,Seattle Dept of Transportation,53,27.93,R,A
Asian,M,Seattle City Light,27,32.94,R,A
Asian,F,Seattle Public Utilities,50,48.09,R,A
Asian,M,Information Technology,52,40.48,R,A
Asian,F,Seattle Dept of Transportation,48,48.09,R,A
Asian,M,Seattle City Light,34,35.62,R,A
Asian,M,Seattle Public Utilities,20,20.91,T,A
Asian,M,Municipal Court,37,43.91,R,A
Asian,F,Human Services Department,21,16,T,A
Asian,F,Legislative Department,27,34.76,R,A
Asian,F,Seattle City Light,27,29.29,R,A
Asian,M,Parks & Recreation,20,16.92,T,A
Asian,F,Seattle Dept of Transportation,34,56.37,R,A
Asian,F,Seattle City Light,43,27.49,R,A
